Dataset,Model,Scope,Abstention_Cost,Macro-F1_Mean,Macro-F1_Std,Micro-F1_Mean,Micro-F1_Std,Hamming Loss_Mean,Hamming Loss_Std,Subset Accuracy_Mean,Subset Accuracy_Std,Example-F1_Mean,Example-F1_Std,train_time_Mean,train_time_Std,Abstentions-as-Zero Macro-F1_Mean,Abstentions-as-Zero Macro-F1_Std,Abstentions-as-Zero Micro-F1_Mean,Abstentions-as-Zero Micro-F1_Std,Generalized Loss_Mean,Generalized Loss_Std,Generalized Hamming Loss_Mean,Generalized Hamming Loss_Std,Selective Hamming Loss_Mean,Selective Hamming Loss_Std,Selective Macro-F1_Mean,Selective Macro-F1_Std,Selective Micro-F1_Mean,Selective Micro-F1_Std,Coverage_Mean,Coverage_Std,ABS_Mean,ABS_Std,AABS_Mean,AABS_Std,Abstention Rate_Mean,Abstention Rate_Std,Independent Label Count_Mean,Independent Label Count_Std,Dependent Label Count_Mean,Dependent Label Count_Std,Validation Full Macro-F1_Mean,Validation Full Macro-F1_Std
yeast,MLC_PA,full,,0.37475132679826995,0.009181026984494358,0.6350631933787626,0.00552932336671312,0.20189970043729644,0.0014434284029434439,0.14649841248260445,0.010720306452856364,0.6092284716793476,0.006750649953131966,0.5677571296691895,0.043659460684807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeast,MLC_PA,rejection,0.2,,,,,,,,,,,,,0.16700538392653624,0.004939831762533689,0.3475491265697959,0.01553510461536233,0.14877206774097176,0.0011864697611488572,0.14877206774097176,0.0011864697611488572,0.11208954238097399,0.0034964139899260095,0.33729767593443577,0.012648628918532514,0.6709139670266566,0.006671744042682751,0.5830595784765502,0.011105836603098211,0.9880057186675089,0.002658330926282153,0.4169404215234498,0.011105836603098215,0.4169404215234498,0.011105836603098215,,,,,,
yeast,MLC_PA,rejection,0.25,,,,,,,,,,,,,0.21580863698131275,0.0031106240519841967,0.4343573327928672,0.01009714079306584,0.16854422134058708,0.002839294457506526,0.16854422134058708,0.002839294457506526,0.12976502038502766,0.005396535033143604,0.35374828645067896,0.009106809980278439,0.6722044367340205,0.008382375173997564,0.6777882894950776,0.012182625469103637,0.9648489807889593,0.0046862077214839225,0.3222117105049225,0.01218262546910364,0.3222117105049225,0.01218262546910364,,,,,,
yeast,MLC_PA,rejection,0.3,,,,,,,,,,,,,0.2557068153216887,0.0015861090525218437,0.5014695758932309,0.010800596696337572,0.18187674406194113,0.0034228077662511996,0.18187674406194113,0.0034228077662511996,0.14373426120570806,0.006200706818289037,0.3584185171010176,0.0054640984032720465,0.6723358970053461,0.011617907522509572,0.7562239438537187,0.012473998020464153,0.9387342542368167,0.008248231408493872,0.2437760561462813,0.012473998020464153,0.2437760561462813,0.012473998020464153,,,,,,
yeast,MLC_PA,rejection,0.35,,,,,,,,,,,,,0.2890848377155749,0.00396063144993284,0.5494088513846515,0.010438055172401275,0.1920624517937882,0.0038070068161322494,0.1920624517937882,0.0038070068161322494,0.15853887222045054,0.005299822349288673,0.36046471556024545,0.0052646072766081384,0.6649601580349621,0.01126554955333351,0.8249920917477784,0.00681996073221543,0.8795465843022156,0.010701638196091276,0.17500790825222168,0.006819960732215415,0.17500790825222168,0.006819960732215415,,,,,,
yeast,MLC_PA,rejection,0.4,,,,,,,,,,,,,0.31601335378494116,0.007743178457691348,0.584337314977143,0.007847141332433104,0.19824939215247991,0.002489883712685302,0.19824939215247991,0.002489883712685302,0.17210579288521768,0.0035660772695455633,0.3612318838026545,0.008218871663820489,0.6563553466241295,0.007432049194423615,0.8853277770270997,0.005367912001607246,0.7698743015099815,0.016115031368676723,0.11467222297290021,0.005367912001607264,0.11467222297290021,0.005367912001607264,,,,,,
yeast,GSI_MLC_PA,full,,0.44852807094900526,0.013786242030443287,0.648375058690002,0.010335107936819738,0.21218037436105322,0.0025412426228889717,0.1982013194106798,0.004498734151012189,0.6268554346531333,0.013277109391239173,35.38908934593201,0.0999297807836381,,,,,,,,,,,,,,,,,,,,,,,2.2,0.8366600265340756,11.8,0.8366600265340756,0.4717792015198805,0.017145401530819705
yeast,GSI_MLC_PA,rejection,0.2,,,,,,,,,,,,,0.3815498392015805,0.007533073903960238,0.5290833828477851,0.026933992777557533,0.17774858994433967,0.0032378416820825796,0.17774858994433967,0.0032378416820825796,0.17306394252941576,0.0042938893609796285,0.4629294695139537,0.011940097091022,0.6445943353031228,0.014287688022928336,0.8277885155384392,0.01762301514048567,0.8523232874760147,0.022696767003400904,0.1722114844615607,0.017623015140485674,0.1722114844615607,0.017623015140485674,,,,,,
yeast,GSI_MLC_PA,rejection,0.25,,,,,,,,,,,,,0.4009271875291109,0.01237263115973125,0.5639960237364587,0.01858827853475603,0.18987003696329746,0.002590896357900611,0.18987003696329746,0.002590896357900611,0.18033735862479672,0.003752877394121518,0.45996201215729327,0.015848127723209347,0.651049320167578,0.012192927200764071,0.8636029202417854,0.012605005604637794,0.7820164769606693,0.03317761962504144,0.13639707975821463,0.0126050056046378,0.13639707975821463,0.0126050056046378,,,,,,
yeast,GSI_MLC_PA,rejection,0.3,,,,,,,,,,,,,0.41435445808326393,0.011975956040231045,0.5923273083377769,0.014907167771148578,0.19868895709152182,0.0017166285406897902,0.19868895709152182,0.0017166285406897902,0.18704283608876335,0.0019489613165237897,0.45617919040037985,0.01401890113949644,0.6552288673678374,0.010765244502929466,0.8969305953949078,0.008002568872822956,0.6894294222804366,0.03975053024328327,0.10306940460509226,0.008002568872822958,0.10306940460509226,0.008002568872822958,,,,,,
